-0,02%
8,38%
-7,13%
0,28%
-9,71%
1,90%
-1,29%
-15,63%
-6,33%
-2,34%
-3,37%
-0,34%
-2,98%
-0,76%
4,86%
0,16%
0,55%
-2,48%
2,20%
-6,27%
0,22%
7,66%
1,51%
1,49%
-2,06%
-1,14%
-0,36%
1,91%
-3,94%
2,89%
0,88%
-3,72%
5,66%
-5,76%
1,97%
-4,66%
4,08%
2,72%
1,06%
-0,32%
-6,25%
3,03%
-11,64%
-3,97%
-1,50%
-1,46%
-7,92%
5,22%
-2,07%
0,14%
2,15%
-2,41%
-2,94%
1,29%
2,96%
-5,72%
2,44%
0,12%
-0,73%
-1,91%
-2,14%
-0,33%
1,72%
2,77%
-1,68%
-0,44%
1,56%
-2,91%
2,63%
1,47%
-6,27%
-1,47%
1,16%
-2,70%
0,64%
-5,13%
-2,41%
0,48%
1,30%
-1,05%
1,70%
-3,29%
-0,79%
0,73%
0,52%
5,19%
0,49%
0,72%
2,57%
1,27%
3,29%
-0,62%
-2,27%
1,11%
2,08%
-0,50%
4,67%
-0,97%
4,97%
-2,63%
0,22%
-1,74%
-5,99%
8,22%
1,89%
-0,99%
-2,52%
0,65%
-7,82%
-3,30%
-1,14%
2,85%
14,59%
-3,65%
-0,24%
2,27%
2,99%
-2,68%
3,32%
-3,49%
-4,33%
0,23%
-1,36%
-7,59%
-1,48%
4,69%
1,16%
-0,34%
-0,43%
-2,60%
-1,96%
0,80%
0,47%
3,40%
2,37%
-0,37%
11,48%
1,08%
-4,70%
0,55%
1,53%
-0,66%
1,13%
1,56%
0,99%
-0,41%
0,72%
1,15%
3,40%
-3,84%
-10,41%
-2,31%
-1,62%
0,37%
-2,02%
-0,04%
0,06%
1,21%
-3,05%
2,73%
2,15%
-0,04%
0,42%
0,30%
-3,60%
-0,76%
-5,26%
-1,28%
-1,86%
-0,89%
3,29%
-1,92%
1,42%
-2,28%
-6,18%
-0,20%
0,74%
-0,75%
-0,03%
4,53%
-0,62%
4,28%
0,41%
-0,32%
1,48%
-3,06%
-2,54%
1,04%
3,56%
-6,74%
1,55%
4,62%
-0,97%
-5,70%
-0,24%
0,07%
2,34%
0,43%
-8,27%
-5,07%
-1,25%
0,58%
-1,58%
0,88%
4,61%
1,93%
-8,83%
3,08%
-0,70%
2,25%
-4,10%
-1,68%
2,81%
1,98%
-5,65%
0,46%
-5,52%
-2,92%
1,72%
0,41%
-1,04%
-0,19%
-2,95%
-0,92%
6,72%
2,91%
0,84%
-0,71%
-2,39%
-0,48%
3,79%
-0,64%
-0,86%
-0,65%
2,74%
3,67%
-3,11%
-4,37%
3,62%
-0,73%
1,03%
-2,44%
-5,71%
2,65%
3,58%
0,86%
1,09%
-1,32%
7,54%
-0,06%
2,44%
-2,54%
5,10%
-0,46%
1,91%
0,24%
-2,78%
7,49%
4,55%
2,13%
1,12%
-1,00%
9,86%
5,50%
1,25%
-2,73%
-2,39%
1,21%
-0,31%
-4,57%
3,03%
7,13%
-5,18%
-9,25%
-2,21%
2,17%
-0,97%
-0,80%
2,24%
4,73%
-2,42%
1,99%
0,71%
-3,33%
0,70%
-1,54%
-11,19%
1,75%
3,71%
-0,16%
1,47%
0,93%
3,58%
0,29%
-3,66%
-0,24%
-0,34%
4,77%
-4,41%
2,68%
-3,68%
0,58%
0,77%
-0,91%
5,49%
4,54%
0,07%
-2,84%
-2,12%
-0,19%
-1,52%
7,67%
-2,55%
-0,06%
-1,49%
5,69%
-1,84%
4,25%
4,72%
2,84%
4,21%
-2,65%
-1,78%
-4,03%
-1,54%
5,50%
-0,00%
1,40%
5,84%
5,33%
4,63%
0,66%
4,04%
0,52%
7,85%
-3,38%
-2,98%
0,85%
0,40%
-1,40%
-2,99%
0,28%
-1,16%
-3,26%
2,14%
-0,85%
2,83%
-2,96%
-1,05%
1,60%
-4,56%
1,60%
2,75%
0,80%
-4,23%
-2,25%
3,94%
-0,58%
7,55%
2,06%
-8,86%
2,94%
3,62%
2,54%
-10,97%
0,23%
-0,66%
-6,05%
-0,74%
-4,53%
-0,92%
3,86%
10,02%
-4,95%
1,81%
-1,83%
11,83%
-0,58%
-6,25%
0,83%
-3,61%
-5,96%
4,34%
2,37%
-1,64%
4,62%
3,09%
-3,02%
-7,17%
-2,12%
2,27%
-0,96%
11,74%
-7,39%
0,40%
-8,40%
10,88%
-14,40%
-1,48%
-6,21%
-0,60%
-6,28%
0,27%
0,65%
-12,90%
1,52%
-4,10%
-1,02%
2,62%
1,65%
-1,80%
6,88%
-6,00%
1,00%
-2,08%
0,15%
7,77%
-2,34%
-0,35%
1,88%
10,33%
-2,25%
-2,06%
-1,13%
-3,88%
-4,71%
1,50%
-1,00%
-6,39%
-2,18%
-2,90%
0,37%
-0,88%
6,14%
-0,19%
0,39%
2,80%
0,07%
3,80%
-3,53%
-1,69%
1,36%
2,00%
-3,25%
0,44%
-0,08%
-0,01%
2,00%
3,32%
-0,17%
1,50%
7,24%
-1,92%
-3,91%
0,54%
-5,62%
-1,22%
0,01%
0,75%
-2,13%
3,56%
1,97%
-5,62%
-3,40%
6,86%
-0,92%
3,49%
1,77%
4,91%
2,61%
4,35%
0,13%
0,75%
-3,90%
4,07%
-2,36%
9,81%
-2,11%
-0,45%
-1,24%
-5,57%
1,61%
-9,61%
-5,78%
2,70%
0,03%
8,38%
-0,95%
5,92%
2,57%
-1,45%
3,13%
-0,43%
-1,29%
7,04%
-3,60%
0,24%
19,41%
-1,03%
2,50%
3,56%
-1,77%
6,09%
5,88%
1,23%
-3,43%
-0,05%
2,78%
9,77%
-6,46%
0,77%
0,03%
0,47%
-2,76%
7,00%
-13,06%
-1,46%
-1,67%
2,16%
-0,50%
-2,24%
-5,95%
4,80%
9,70%
-4,13%
-6,93%
-4,88%
-1,10%
2,89%
7,25%
8,24%
6,15%
-2,84%
2,38%
9,65%
1,42%
0,28%
5,45%
1,18%
3,03%
-0,73%
7,15%
4,02%
2,06%
-2,37%
4,82%
-3,18%
-1,55%
3,10%
1,33%
6,90%
9,87%
0,84%
0,51%
1,96%
4,36%
-1,23%
-1,61%
1,20%
-4,40%
-1,08%
1,22%
2,62%
-3,99%
1,12%
2,39%
-4,71%
8,32%
2,57%
3,52%
-0,20%
-8,34%
-2,24%
4,21%
-0,18%
-1,47%
0,06%
4,90%
0,16%
0,64%
5,66%
4,78%
-0,73%
-1,55%
0,18%
3,82%
2,56%
-0,15%
-1,01%
4,42%
-4,81%
-0,06%
10,19%
0,90%
3,38%
-1,44%
-0,27%
1,75%
0,76%
1,34%
-2,77%
4,56%
0,23%
-0,65%
1,42%
-0,31%
1,30%
7,51%
1,36%
2,14%
1,27%
0,35%
-1,57%
0,72%
-0,03%
-0,95%
1,43%
0,64%
2,21%
1,19%
2,37%
0,64%
-1,73%
1,09%
1,22%
-0,27%
-0,45%
-1,44%
-0,60%
1,38%
-0,77%
0,45%
0,37%
-0,47%
4,90%
-2,79%
1,10%
-4,62%
-1,45%
1,36%
-0,08%
-0,07%
1,52%
1,03%
3,38%
-1,11%
0,50%
0,49%
1,13%
0,97%
-2,41%
0,78%
2,02%
-3,63%
2,99%
-10,90%
-4,21%
2,32%
-0,49%
2,04%
-0,51%
1,77%
-1,18%
1,21%
-3,65%
0,96%
-0,17%
1,15%
-2,76%
0,91%
-1,65%
-2,73%
3,22%
0,45%
0,80%
-0,17%
1,85%
1,46%
-4,19%
1,78%
-0,71%
1,49%
-1,40%
0,19%
4,92%
-0,35%
1,42%
-6,24%
4,14%
2,14%
-0,09%
1,81%
-1,04%
10,98%
2,35%
1,65%
-0,55%
0,90%
1,35%
2,46%
-0,50%
0,41%
0,16%
0,22%
-0,69%
-0,59%
0,11%
-0,62%
0,73%
-0,56%
0,53%
-2,06%
1,88%
-0,89%
2,84%
-0,58%
0,74%
-0,20%
-1,57%
1,03%
-0,54%
0,67%
1,28%
-1,66%
-0,95%
-0,59%
-3,35%
-0,61%
4,17%
-0,67%
0,48%
-0,79%
-0,81%
-0,62%
1,04%
0,86%
-1,33%
0,05%
1,97%
-6,03%
1,13%
-0,09%
0,36%
0,76%
0,40%
-1,67%
1,32%
1,47%
-6,49%
7,77%
-2,45%
2,84%
-1,54%
4,06%
4,03%
-0,63%
1,95%
-4,89%
0,08%
1,22%
-4,76%
-2,67%
0,44%
0,55%
3,18%
0,66%
-4,71%
5,16%
5,50%
2,73%
-1,82%
-8,54%
-2,57%
-1,74%
9,05%
1,67%
1,42%
-0,12%
-0,90%
1,64%
2,23%
-1,62%
13,22%
-0,25%
1,13%
1,84%
0,49%
0,20%
5,28%
3,95%
0,13%
-4,06%
-1,49%
2,77%
-0,70%
6,89%
-3,24%
0,14%
-1,10%
0,73%
0,07%
-5,84%
-0,98%
2,45%
-2,01%
8,26%
-1,23%
1,80%
-0,95%
2,44%
3,52%
0,34%
8,50%
-5,51%
-2,19%
-5,23%
0,69%
-0,97%
4,26%
11,11%
-5,89%
-0,31%
0,54%
15,12%
1,91%
4,59%
-6,27%
3,54%
-7,19%
15,71%
-39,18%
0,56%
-0,53%
-1,26%
-9,61%
-2,70%
0,82%
3,45%
-0,04%
-1,61%
4,27%
-0,04%
-1,77%
-1,37%
0,21%
-5,55%
-3,57%
-2,82%
2,97%
-0,30%
0,85%
-0,07%
-5,40%
4,71%
-2,32%
0,25%
-4,12%
0,96%
-0,80%
0,86%
3,81%
-2,93%
2,59%
0,78%
0,48%
1,67%
4,54%
-1,10%
-0,41%
-0,50%
0,35%
-1,66%
2,24%
-0,84%
5,76%
3,01%
3,19%
-1,17%
0,41%
-3,15%
-0,62%
1,05%
-0,74%
-2,36%
0,04%
2,13%
-1,04%
-0,12%
8,85%
-0,93%
2,04%
-1,99%
4,40%
-2,70%
-1,18%
5,11%
5,24%
-0,06%
0,46%
5,40%
-3,23%
0,05%
-0,90%
-1,84%
1,04%
0,82%
0,70%
-0,19%
-0,60%
-0,74%
-2,31%
4,74%
-0,56%
0,43%
-1,52%
10,02%
-4,20%
-3,16%
0,67%
-2,40%
0,65%
0,00%
-0,38%
-1,63%
-2,24%
0,18%
-0,26%
1,78%
2,70%
-1,20%
-0,09%
-1,33%
-1,99%
-2,53%
4,26%
-1,12%
4,86%
0,66%
2,76%
-5,45%
0,71%
-4,66%
-5,82%
-0,57%
-0,76%
-3,54%
0,15%
0,25%
-2,13%
-1,39%
-0,33%
0,87%
-3,32%
2,64%
0,30%
-4,83%
-1,24%
0,30%
-0,91%
2,15%
-1,10%
0,76%
0,85%
-0,06%
-2,69%
2,22%
-3,38%
3,24%
6,61%
16,65%
-0,73%
-6,90%
-2,15%
-0,18%
3,34%
0,11%
-1,55%
0,91%
-2,04%
-2,23%
0,87%
-0,28%
0,44%
-3,44%
-0,05%
4,69%
-0,19%
4,02%
-3,02%
-0,25%
-0,96%
-1,64%
0,74%
0,22%
2,92%
-1,94%
0,29%
1,50%
-4,37%
-0,96%
-12,25%
-3,28%
0,39%
-1,77%
-0,76%
0,84%
-0,30%
-0,58%
-0,54%
-0,25%
-0,05%
-0,70%
2,49%
0,57%
-1,98%
-0,90%
-0,56%
1,47%
-2,44%
-0,01%
-0,42%
2,55%
6,37%
1,41%
0,09%
0,99%
-2,45%
-4,47%
-1,80%
2,32%
0,05%
-2,48%
2,81%
-0,36%
-5,68%
-1,45%
5,80%
0,93%
-1,14%
0,31%
2,53%
-7,74%
-4,40%
-1,07%
1,79%
-6,41%
-0,84%
1,48%
4,64%
-2,84%
8,07%
1,10%
2,81%
1,35%
2,96%
5,23%
-0,00%
-1,51%
2,48%
-3,45%
-1,15%
1,44%
-0,85%
-5,03%
-2,82%
-1,04%
2,41%
-0,75%
9,55%
3,17%
-13,10%
6,33%
-10,25%
-3,38%
3,70%
-6,34%
-3,44%
2,36%
7,33%
1,31%
2,71%
-1,73%
-6,20%
9,83%
2,07%
-1,87%
-9,14%
-4,05%
9,93%
-13,59%
10,62%
6,91%
1,37%
1,64%
5,33%
6,96%
2,83%
1,93%
-2,56%
3,98%
1,70%
1,81%
5,32%
1,06%
3,11%
-1,25%
4,62%
-3,37%
-1,05%
2,57%
0,08%
1,22%
-5,41%
-6,92%
2,14%
-0,15%
3,46%
-4,35%
-0,79%
-0,50%
1,51%
7,51%
0,72%
1,50%
2,83%
-3,72%
-0,44%
-2,35%
12,32%
-1,32%
-6,51%
-3,59%
2,13%
2,42%
11,76%
-2,86%
12,59%
3,14%
3,36%
2,41%
1,82%
-0,52%
-0,96%
1,11%
4,97%
2,04%
1,19%
1,64%
-1,27%
0,69%
-0,61%
1,71%
-3,81%
-1,74%
3,08%
1,97%
-0,88%
0,94%
-0,45%
1,08%
0,53%
2,95%
-2,00%
1,64%
-0,05%
0,63%
-5,37%
2,89%
-1,65%
1,38%
2,53%
0,72%
2,20%
-1,33%
2,25%
17,23%
1,04%
-0,23%
0,23%
1,90%
-0,40%
2,51%
0,15%
-1,44%
-0,20%
0,30%
0,21%
-1,46%
0,60%
0,67%
0,22%
-0,62%
2,09%
1,17%
0,36%
-0,54%
0,41%
-1,15%
-0,74%
2,03%
-0,24%
0,32%
0,15%
3,80%
-2,45%
-0,36%
0,03%
0,14%
0,05%
0,11%
-0,61%
2,09%
-8,86%
3,91%
0,73%
-0,90%
1,48%
0,47%
6,33%
1,31%
0,34%
0,34%
-0,52%
-0,56%
0,01%
-1,28%
0,48%
-0,01%
7,77%
-0,20%
-1,85%
0,16%
0,11%
-1,24%
1,00%
0,90%
-0,66%
1,32%
-0,81%
-3,17%
-0,43%
-0,03%
-0,06%
0,36%
-0,52%
1,23%
-0,16%
-3,68%
2,00%
-0,57%
1,07%
0,47%
-1,84%
4,24%
-2,98%
-0,53%
0,35%
-9,41%
0,17%
-0,37%
-0,45%
5,78%
-0,46%
0,60%
-2,42%
1,69%
2,69%
-2,77%
2,92%
-4,01%
7,66%
-5,45%
0,83%
-6,55%
2,07%
-0,50%
2,95%
-5,52%
10,55%
0,52%
4,02%
8,57%
0,60%
-0,59%
-2,04%
-4,35%
1,72%
-1,53%
-3,00%
4,00%
0,24%
-2,46%
-6,97%
-4,72%
1,56%
-6,31%
-0,85%
3,87%
-5,98%
0,73%
10,32%
0,77%
-5,54%
3,62%
-10,86%
0,96%
-6,09%
2,52%
-7,36%
-13,69%
0,65%
-0,26%
-1,45%
-2,11%
-9,13%
-0,09%
-0,17%
0,30%
0,24%
-0,96%
-1,39%
0,96%
0,67%
-0,29%
1,44%
-0,60%
0,38%
0,54%
0,64%
-0,15%
-2,33%
-0,12%
-0,24%
0,05%
-0,36%
0,03%
-0,41%
-0,41%
0,16%
0,92%
-0,94%
-1,68%
-0,28%
0,08%
5,90%
0,08%
0,48%
0,84%
-5,72%
-0,49%
-0,28%
0,89%
0,22%
-0,65%
0,83%
1,17%
-0,64%
-0,88%
-0,41%
0,47%
-0,48%
-0,79%
3,42%
0,36%
-2,11%
